"market","ticker","name","cik","yahoo_symbol","xueqiu_symbol","cninfo_plate","rss_urls","notes"
"SH","600580","卧龙电驱","","600580.SS","SH600580","sh","","C38电气机械和器材制造业; avg20_amount=1699722336; last_amount=2273933267"
"SZ","301486","致尚科技","","301486.SZ","SZ301486","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1638145162; last_amount=979248191"
"SZ","300342","天银机电","","300342.SZ","SZ300342","sz","","C34通用设备制造业; avg20_amount=1616373618; last_amount=1310108384"
"SZ","300024","机器人","","300024.SZ","SZ300024","sz","","C34通用设备制造业; avg20_amount=1578483315; last_amount=1783646327"
"SZ","300115","长盈精密","","300115.SZ","SZ300115","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1571367604; last_amount=2547364793"
"SZ","300456","赛微电子","","300456.SZ","SZ300456","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1563060148; last_amount=2111285028"
"SH","600406","国电南瑞","","600406.SS","SH600406","sh","","I65软件和信息技术服务业; avg20_amount=1559596887; last_amount=1313526541"
"SZ","300671","富满微","","300671.SZ","SZ300671","sz","","I65软件和信息技术服务业; avg20_amount=1529827552; last_amount=3461845579"
"SZ","300835","龙磁科技","","300835.SZ","SZ300835","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1526122911; last_amount=1236616349"
"SH","600888","新疆众和","","600888.SS","SH600888","sh","","C39计算机、通信和其他电子设备制造业; avg20_amount=1522049734; last_amount=1394344699"
"SZ","301669","高特电子","","301669.SZ","SZ301669","sz","","C38电气机械和器材制造业; avg20_amount=1495559739; last_amount=744037391"
"SZ","301095","广立微","","301095.SZ","SZ301095","sz","","I65软件和信息技术服务业; avg20_amount=1461260638; last_amount=2135440935"
"SZ","300331","苏大维格","","300331.SZ","SZ300331","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1459490920; last_amount=1111466754"
"SZ","301489","思泉新材","","301489.SZ","SZ301489","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1455686806; last_amount=1522779519"
"SZ","300763","锦浪科技","","300763.SZ","SZ300763","sz","","C38电气机械和器材制造业; avg20_amount=1422878444; last_amount=1186617592"
"SZ","300602","飞荣达","","300602.SZ","SZ300602","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1411076612; last_amount=1435075327"
"SZ","301150","中一科技","","301150.SZ","SZ301150","sz","","C39计算机、通信和其他电子设备制造业; avg20_amount=1389348562; last_amount=840567589"
